"Id","SalePrice"
1461,121451.298215068
1462,157786.93552559
1463,188078.244968818
1464,200012.426724604
1465,186150.980113173
1466,164475.674436897
1467,161465.273343101
1468,167140.550346532
1469,183131.743908933
1470,120150.912380517
1471,178930.351885574
1472,96828.6420594447
1473,97922.0929848736
1474,142523.798618992
1475,111819.657987396
1476,363141.216144168
1477,266823.394302565
1478,284304.529071378
1479,279899.397854625
1480,473409.944669544
1481,328175.060017873
1482,219086.892230286
1483,174232.920971173
1484,169465.529685688
1485,191183.738143984
1486,192566.737324354
1487,312933.574942056
1488,229875.050720943
1489,201943.515563992
1490,222140.541297043
1491,190814.771920525
1492,88455.3424660529
1493,209988.523168328
1494,279804.323202842
1495,269216.913611258
1496,224717.047088237
1497,167575.358225394
1498,167922.56024256
1499,153032.31616571
1500,154207.666372164
1501,171705.538464282
1502,148063.622397677
1503,302359.146087569
1504,240740.432358792
1505,220804.204852135
1506,198169.70223241
1507,237993.244680494
1508,194062.463575069
1509,157920.510825039
1510,144418.126217542
1511,160703.897126242
1512,165856.452904815
1513,135310.406432163
1514,161225.774552947
1515,198597.409964664
1516,146514.469253755
1517,171316.689503962
1518,136317.854622845
1519,210518.084924969
1520,129258.079042597
1521,131226.810664484
1522,171585.957260635
1523,113257.960346875
1524,134968.830218426
1525,123650.16110959
1526,109786.51757139
1527,105626.201758101
1528,127458.837370502
1529,142336.49161476
1530,181247.020623002
1531,131807.629793719
1532,99314.8882770876
1533,137907.11606025
1534,118666.260168826
1535,146792.160558168
1536,113574.378519151
1537,72775.1761344374
1538,145071.023244376
1539,174422.678157149
1540,88634.954592709
1541,137506.029724762
1542,137445.79449844
1543,184876.484251346
1544,88838.5273610016
1545,122371.77343504
1546,136527.343782938
1547,118396.553391753
1548,128451.66159122
1549,121699.224933058
1550,137088.640329106
1551,125739.065060726
1552,134897.781736757
1553,139518.428904749
1554,113305.142873886
1555,176381.964086911
1556,81669.8189743855
1557,104882.334556575
1558,102892.436964069
1559,95754.1639591653
1560,113361.446821619
1561,111013.483743762
1562,129098.369048446
1563,120697.476182338
1564,158828.673788063
1565,153486.760029078
1566,228666.374720372
1567,84040.3180970579
1568,249530.072104665
1569,138771.408684796
1570,148413.371648572
1571,130776.57718416
1572,139735.714943577
1573,261906.60448833
1574,102716.927933544
1575,227149.600792178
1576,236655.632123959
1577,224196.719762431
1578,142706.809313265
1579,143449.884683877
1580,194456.879909731
1581,149126.415003818
1582,124105.696184844
1583,284553.212786193
1584,223283.02376265
1585,138214.370587557
1586,83644.1035053654
1587,114113.600942233
1588,159084.610273307
1589,93162.6416775999
1590,129343.725266327
1591,97425.4383702249
1592,114558.559536802
1593,127215.907788486
1594,115168.951024072
1595,102959.97638033
1596,231208.205587299
1597,192034.970704786
1598,218562.001790206
1599,177617.035676275
1600,172217.809259385
1601,61112.5010277395
1602,108516.404405733
1603,88665.7941632764
1604,254818.963485826
1605,243945.984907634
1606,162387.028897459
1607,191562.901212589
1608,244360.10278574
1609,199647.45184586
1610,151919.838886594
1611,143764.49362117
1612,172193.415097872
1613,177355.003508946
1614,119042.03307588
1615,91589.4822742228
1616,82362.675969461
1617,95703.9064084793
1618,128023.9704065
1619,134265.774968452
1620,159730.715325311
1621,129923.434667086
1622,147111.105372184
1623,263209.589445844
1624,212098.336619595
1625,122078.170797683
1626,175232.888355469
1627,192291.578907524
1628,276722.074018473
1629,183511.318364962
1630,340301.066084384
1631,230653.853812581
